학년도,학교급별,학년,성별,키
2016,초,6,여,149.5
2016,초,1,남,120.7
2016,초,1,남,126.2
2016,초,1,남,125.3
2016,초,1,남,119.7
2016,초,1,남,116.4
2016,초,1,남,134.2
2016,초,1,남,117.4
2016,초,1,여,114
2016,초,1,여,126.3
2016,초,1,여,119.2
2016,초,1,여,124.8
2016,초,1,여,118.5
2016,초,1,여,117.3
2016,초,1,여,125.1
2016,초,2,남,126.5
2016,초,2,남,124.2
2016,초,2,남,127.6
2016,초,2,남,131.3
2016,초,2,남,127.9
2016,초,2,남,122.9
2016,초,2,남,130.6
2016,초,2,여,119.6
2016,초,2,여,129.3
2016,초,2,여,125.4
2016,초,2,여,127.7
2016,초,2,여,124.2
2016,초,2,여,131
2016,초,2,여,122.6
2016,초,3,남,125.6
2016,초,3,남,124.3
2016,초,3,남,132.8
2016,초,3,남,135.2
2016,초,3,남,122.2
2016,초,3,남,125.9
2016,초,3,남,145.6
2016,초,3,여,127.2
2016,초,3,여,135.3
2016,초,3,여,132.1
2016,초,3,여,127.8
2016,초,3,여,130.6
2016,초,3,여,132.3
2016,초,4,남,143.2
2016,초,4,남,122.5
2016,초,4,남,139.9
2016,초,4,남,140.4
2016,초,4,남,131.8
2016,초,4,남,134.7
2016,초,4,남,143.6
2016,초,4,남,133.5
2016,초,4,남,138.1
2016,초,4,남,138.5
2016,초,4,남,142.3
2016,초,4,남,134.4
2016,초,4,여,131
2016,초,4,여,143.5
2016,초,4,여,136.2
2016,초,4,여,129.4
2016,초,4,여,147.4
2016,초,4,여,141.2
2016,초,4,여,134.3
2016,초,4,여,140.8
2016,초,4,여,131.1
2016,초,5,남,139.3
2016,초,5,남,142.4
2016,초,5,남,152.1
2016,초,5,남,128.3
2016,초,5,남,146.5
2016,초,5,남,145.3
2016,초,5,남,142.8
2016,초,5,남,156
2016,초,5,남,141.4
2016,초,5,남,159.4
2016,초,5,여,141.7
2016,초,5,여,149
2016,초,5,여,145.2
2016,초,5,여,141
2016,초,5,여,139.7
2016,초,5,여,143.8
2016,초,5,여,142
2016,초,6,남,162.5
2016,초,6,남,156.6
